cliente_id;nombre;porcentaje
11986314;San Vicente;100.0
11995855;Versalles;100.0
11997392;El Sena;100.0
11998729;Urbanización Militar;100.0
12000148;La Merced;87.73
12005144;Urbanización San Juaquín;100.0
12016291;Canaverales Los Samanes;100.0
12016787;La Merced;100.0
12023030;Olaya Herrera;99.27
12025841;Barrio Eucarístico;100.0
12029143;Unicentro Cali;100.0
12033887;Barrio Obrero;85.41
12038908;Ciudad Campestre;100.0
12039636;Manuela Beltrán;100.0
12039835;San Pedro;100.0
12051405;San Vicente;100.0
12060573;Unicentro Cali;85.12
12062772;Área Libre-Parque del Amor;85.14
12064488;Ciudadela Floralia;99.98
12066036;La Alianza;99.37
12076027;Junin;100.0
12077871;San Cristobal;100.0
12078066;San Vicente;95.61
12091861;El Cedro;100.0
12097933;Planta de Tratamiento;56.88
12108414;Santander;100.0
12113401;Aranjuez;100.0
12119721;San Vicente;100.0
12124681;San Pedro;100.0
12126843;San Pedro;100.0
12133140;El Gran Limonar;72.82
12138124;Urbanización San Juaquín;100.0
12139508;Santander;100.0
12140966;Unicentro Cali;100.0
12142546;Santa Teresita;100.0
12142968;San Vicente;100.0
12150048;San Pedro;100.0
12153837;Unicentro Cali;100.0
12160273;El Cedro;93.36
12160588;El Gran Limonar;80.08
12160763;Unidad Residencial Santiago de Cali;100.0
12162943;Colseguros Andes;84.67
12164454;El Sena;100.0
12165399;Junin;100.0
12168535;Lili;72.53
12179687;Unicentro Cali;99.21
12186579;Santa Mónica Residencial;100.0
12187463;San Vicente;100.0
12188980;Los Guaduales;100.0
12192287;San Fernando Nuevo;58.07
12202753;Granada;99.96
12206053;San Vicente;99.96
12209280;Santa Mónica Residencial;100.0
12214296;San Pedro;89.7
12218349;Ciudad Capri;100.0
12218525;Santa Rita;100.0
12224225;Ciudadela Paso Ancho;55.2
12229168;Ciudad Capri;100.0
12229634;Urbanización Tequendama;100.0
12231246;San Pedro;100.0
12231246;Unidad Residencial Santiago de Cali;100.0
12235000;Calima;98.47
12237160;Urbanización San Juaquín;100.0
12238968;San Pedro;99.65
12244541;Urbanización San Juaquín;100.0
12244582;Prados del Norte;100.0
12244845;El Cedro;100.0
12248712;Santa Rosa;52.95
12252253;El Cedro;100.0
12257840;Parcelaciones Pance;100.0
12264322;Unicentro Cali;98.48
12270146;Camino Real-Joaquín Borrero;100.0
12277965;Versalles;99.99
12295497;Paseo del Comercio;99.9
12303972;San Nicolás;53.72
12308217;San Vicente;59.42
12310081;Urbanización Ciudad Jardín;78.04
12311512;Chipichape;98.43
12312748;Santander;71.8
12338622;Santa Rita;100.0
12345618;San Vicente;97.47
12346496;Santa Mónica Residencial;100.0
12355648;San Pedro;100.0
12355884;Lili;100.0
12356983;El Lido;100.0
12363223;Urbanización Militar;100.0
12367143;Urbanización Ciudad Jardín;100.0
12376483;La Flora;61.55
12380115;Área Libre-Parque del Amor;100.0
12394082;Santa Mónica Residencial;100.0
12403759;El Cedro;100.0
12413740;El Cedro;56.14
12418813;El Sena;100.0
12420256;Canaverales Los Samanes;70.69
12422449;Unicentro Cali;100.0
12435542;San Nicolás;99.99
12436565;Calima;100.0
12439995;Barrio Eucarístico;99.72
12443918;El Sena;100.0
12454806;El Gran Limonar;97.21
12460536;San Pedro;100.0
12466362;San Vicente;58.45
12467263;El Ingenio;75.44
12469666;San Pedro;100.0
12476901;La Rivera;96.29
12477880;Parcelaciones Pance;100.0
12480081;Juanambu;100.0
12480559;Santa Anita;100.0
12481119;San Vicente;68.18
12492165;San Vicente;61.05
12505568;Ciudad Capri;100.0
12507422;Lili;97.8
12509303;El Cedro;98.72
12517208;Flora Industrial;78.0
12532885;Cataya-El Gran Limonar;99.92
12540252;La Ciudadela Confandi;63.96
12541104;La Rivera;99.96
12544605;San Pedro;100.0
12549263;El Cedro;100.0
12550723;Urbanización Río Lili;100.0
12552583;La Flora;66.31
12562040;Chapinero;100.0
12575608;San Nicolás;71.45
12582661;Laureano Gómez;59.59
12593836;San Vicente;52.91
12598643;Flora Industrial;97.25
12600412;Junin;100.0
12602955;Chapinero;100.0
12603254;San Pedro;100.0
12607876;San Vicente;99.94
12626533;San Fernando Nuevo;100.0
12639958;Los Guaduales;100.0
12642064;Ciudad Capri;100.0
12643793;Buenos Aires;100.0
12649688;Granada;100.0
12652600;San Pedro;65.67
12652777;El Gran Limonar;80.38
12657051;San Vicente;100.0
12662834;El Cedro;83.24
12667320;San Fernando Viejo;82.02
12670995;Lili;100.0
12677395;El Sena;100.0
12678296;La Merced;72.63
12679645;Chipichape;100.0
12682646;Lili;82.07
12686941;La Ciudadela Confandi;100.0
12694040;Urbanización La Flora;78.56
12701941;Santa Mónica Residencial;99.42
12709112;Colseguros Andes;86.9
12710728;Ciudad 2000;99.96
12711548;Urbanización Ciudad Jardín;100.0
12716475;El Hoyo;100.0
12720678;Villa Colombia;99.01
12720840;Canaverales Los Samanes;56.45
12722637;San Nicolás;99.56
12728340;Unicentro Cali;99.99
12729385;Alirio Mora Beltrán;100.0
12732924;José M. Córdoba;91.82
12745292;Alameda;99.72
12746421;Lili;87.38
12750022;Parcelaciones Pance;55.78
12750495;Chapinero;100.0
12757090;El Gran Limonar;56.94
12766407;El Sena;98.77
12766506;San Fernando Viejo;98.03
12775172;Urbanización La Flora;88.59
12778281;Junin;100.0
12785334;San Vicente;100.0
12791887;La Independencia;62.5
12792957;Unicentro Cali;100.0
12802622;Santa Mónica Residencial;65.94
12809366;El Jardín;99.42
12810848;Chapinero;100.0
12816326;La Paz;99.91
12822191;La Merced;100.0
12836747;La Independencia;100.0
12840939;San Nicolás;100.0
12846964;Los Alcázares;100.0
